izvor,objave,interakcije,doseg,godine_prisutnosti
dw.com,124,3695,3690987,5
turistplus.hr,123,579,7947,6
dom2.hr,122,1627,35555,5
ilidzagrad.net,122,280,12024,3
vizkultura.hr,122,6484,93034,6
bih-x.info,120,0,120,5
menu.hr,120,1507,40719,6
najboljeknjige.com,120,19585,254037,6
nasiskolji.hr,120,7869,108657,6
juznivetar.news,119,5110,131820,4
instore.hr,118,1,163,5
danas.hr,117,10514,2647537,4
wish.hr,117,1782,35028,5
zenicablog.com,117,8141,132318,5
kalelargainfo.hr,116,9307,128895,3
gorica.info,115,3922,57762,3
klubskascena.hr,114,9274,138006,6
mamager.hr,114,1792,69156,3
poslovnifm.com,114,1091,25659,6
voxfeminae.net,114,7900,140382,6
zupskiportal.hr,114,1380,38016,6
profitiraj.hr,113,411,14094,6
netkolumne.com,112,99645,1220627,6
gkr.hr,111,5803,78984,6
klikni.news,111,471,17199,3
poduzetnickicentar-kzz.hr,111,776,22320,3
srce.hr,111,147,89613,6
ideje.hr,109,6277,110121,6
vtv.hr,109,596,19512,5
komedija.hr,108,832,13194,6
svpetaripavao.hr,108,0,108,3
crikva.hr,107,2325,39105,6
david-udruga.hr,107,3400,96768,4
stvarnost.hr,107,19456,384982,4
svetiandrija.hr,107,0,0,6
varazdinski.hr,107,3352,374440,4
budidobro.com,106,5497,99921,5
konzerva.hr,106,4157,83151,2
kzz.hr,106,184,3930,3
dsng.hr,105,141,3411,6
game-game.com.hr,105,0,3150,6
sveisvasta.hr,105,0,1260,2
vijesti24h.online,105,25328,418410,2
mojadalmacija.com,104,858,55698,2
posao-srbija.com,104,534,18032,2
radio-baranja.hr,104,2118,39726,6
biograjski.com,102,4053,63873,6
filmonizirani.net,102,311,7605,4
goodgame.hr,102,628,15786,6
kulturistra.hr,102,90,2598,3
vusz.hr,102,384,4872,6
lipadona.com,101,124,2747,6
media-marketing.com,100,758,16394,3
terapija.net,99,750,16398,3
tockanai.hr,99,1011,18504,5
zupa-preobrazenja-gospodnjeg.hr,99,150,2304,5
buro247.hr,98,3890,72743,6
hkld.hr,98,767,13185,1
jatrgovac.com,98,96,2814,6
sportcom.hr,97,828,10310,6
iherb.com,96,32,1472580,2
objektivno.hr,96,3279,48261,5
smz.hr,96,92,2958,6
ekovjesnik.hr,95,1808,39096,6
